ET_id,n_lv1_1,n_lv1_2,Group 1,Group 2
267008,3,4,0,100
267260,1,4,0,75
266848,2,3,50,100
267183,0,7,,100
267185,2,0,50,
267029,1,5,0,100
267033,1,8,100,87.5
267038,2,4,50,100
267194,1,5,100,100
267295,1,5,0,100
267294,1,4,0,100
267299,1,5,100,80
267307,3,9,66.66666666666666,100
265045,1,2,0,0
269350,0,3,,100
267319,1,3,100,100
300897,2,0,0,
303135,2,2,50,50
303032,3,5,33.33333333333333,100
304956,3,5,0,60
303035,4,0,50,
302951,2,6,50,100
302955,6,4,83.33333333333334,75
302957,0,3,,100
303139,3,7,66.66666666666666,100
303046,3,0,33.33333333333333,
303048,0,5,,100
303144,1,3,0,100
303145,3,6,100,100
304973,0,6,,83.33333333333334
302972,1,4,100,100
303066,2,4,0,100
305197,0,6,,66.66666666666666
303216,0,6,,100
302861,1,5,0,80
301225,0,1,,100
303095,1,4,0,50
303174,2,7,100,85.71428571428571
303100,1,6,0,100
