I_id,n_syn_lv1,sum_size_lv1,m_type,ET_id,n_syn_r,sum_size_r
499540.0,2,18804,PTC,589294,1,3456
530836.0,1,15920,PTC,589294,2,12412
463826.0,9,80900,PTC,526436,3,17184
496739.0,5,44448,PTC,526436,17,130732
530669.0,2,14440,DTC,526436,6,32700
530836.0,8,81444,PTC,526436,23,185100
532459.0,2,15916,PTC,526436,6,99316
617832.0,1,6052,DTC,526436,2,11300
463826.0,22,237700,PTC,495010,17,111876
496739.0,2,11444,PTC,495010,24,147480
499540.0,4,69832,PTC,495010,15,95376
530669.0,1,10928,DTC,495010,6,19368
530836.0,1,9156,PTC,495010,8,66824
532459.0,3,16140,PTC,495010,10,64812
463826.0,2,25332,PTC,494888,8,50692
496739.0,1,7116,PTC,494888,6,31316
499540.0,3,25084,PTC,494888,6,47472
526397.0,1,8972,DTC,494888,15,49496
530669.0,2,14992,DTC,494888,9,22008
530836.0,1,2892,PTC,494888,8,44144
532459.0,3,41612,PTC,494888,18,85832
302509.0,1,412,PTC,337966,1,4956
303172.0,4,41344,PTC,337966,12,80568
303255.0,1,10076,PTC,337966,13,60032
305232.0,1,18412,DTC,337966,2,8188
339622.0,2,14784,PTC,337966,6,24452
339947.0,9,123520,PTC,337966,41,259440
340252.0,2,31716,DTC,337966,2,4672
340410.0,6,53668,PTC,337966,45,328192
371878.0,1,7272,PTC,337966,5,25836
463826.0,1,5492,PTC,337966,3,20556
496739.0,1,3968,PTC,337966,1,10536
232688.0,1,13432,PTC,303216,8,67268
260707.0,1,3216,DTC,303216,4,20400
269219.0,3,34096,PTC,303216,1,2400
269585.0,1,21868,DTC,303216,7,35368
269633.0,2,15928,DTC,303216,7,24436
269834.0,6,97784,PTC,303216,14,78760
271673.0,1,16336,DTC,303216,2,4612
271952.0,7,76552,PTC,303216,14,96656
303172.0,4,56920,PTC,303216,9,59640
303255.0,6,71872,PTC,303216,15,108560
305046.0,4,95964,PTC,303216,16,79436
305232.0,6,65752,DTC,303216,3,15268
340252.0,1,22620,DTC,303216,1,2884
340410.0,10,98472,PTC,303216,10,77932
496739.0,2,20348,PTC,303216,9,42476
232688.0,1,4592,PTC,302951,8,37856
234739.0,5,50792,PTC,302951,1,4336
264786.0,1,3432,PTC,302951,15,105424
267006.0,7,63144,DTC,302951,19,94596
267317.0,1,13032,DTC,302951,3,9384
269219.0,1,1008,PTC,302951,3,22232
269414.0,7,74768,DTC,302951,2,4580
269485.0,1,4696,DTC,302951,10,39472
269585.0,2,52384,DTC,302951,2,5088
269633.0,1,16276,DTC,302951,3,11992
269834.0,3,13712,PTC,302951,1,956
271952.0,5,54968,PTC,302951,11,82632
302509.0,2,20976,PTC,302951,37,245572
302962.0,3,11876,PTC,302951,10,80152
303172.0,1,2620,PTC,302951,9,44820
303195.0,3,20152,PTC,302951,21,105764
303255.0,2,26300,PTC,302951,8,23452
305046.0,3,7900,PTC,302951,1,3780
339622.0,4,39964,PTC,302951,3,12888
339947.0,10,90740,PTC,302951,13,58676
371878.0,1,4032,PTC,302951,3,18328
232688.0,5,14644,PTC,267033,33,185856
234739.0,1,4968,PTC,267033,3,8992
262957.0,1,472,ITC,267033,1,952
267317.0,3,25088,DTC,267033,1,1944
269219.0,7,105212,PTC,267033,32,155764
269414.0,1,4416,DTC,267033,1,5072
269585.0,2,12180,DTC,267033,6,19592
269633.0,2,17704,DTC,267033,4,15604
269834.0,2,14124,PTC,267033,8,24112
271673.0,4,35292,DTC,267033,3,11548
271952.0,2,28020,PTC,267033,8,32748
302509.0,17,200944,PTC,267033,27,215324
302962.0,3,48692,PTC,267033,46,301936
303172.0,3,26280,PTC,267033,17,58524
303195.0,2,12776,PTC,267033,9,48556
303255.0,7,60032,PTC,267033,12,41020
305046.0,5,37956,PTC,267033,19,84340
339622.0,6,68228,PTC,267033,17,74600
339947.0,7,76224,PTC,267033,26,109184
267006.0,7,65504,DTC,232635,11,37716
269334.0,8,44360,DTC,232635,5,15656
269485.0,1,5876,DTC,232635,7,21388
301085.0,1,17728,DTC,232635,1,1540
232688.0,3,18116,PTC,267029,34,185984
234739.0,2,4524,PTC,267029,5,56952
258234.0,1,228,PTC,267029,2,11232
269219.0,1,17156,PTC,267029,11,59428
269585.0,3,21876,DTC,267029,5,21060
269633.0,1,12692,DTC,267029,2,6768
269834.0,6,70620,PTC,267029,3,7612
271673.0,3,34980,DTC,267029,4,16232
292669.0,1,3868,PTC,267029,4,10844
302509.0,1,6436,PTC,267029,28,176504
302962.0,10,112944,PTC,267029,27,134660
303255.0,1,5220,PTC,267029,5,24940
305046.0,4,33556,PTC,267029,30,203280
339947.0,1,4140,PTC,267029,5,27796
371878.0,1,2664,PTC,267029,8,32576
234739.0,1,22568,PTC,266839,1,4480
267006.0,1,12824,DTC,266839,19,84428
267068.0,1,6588,PTC,266839,1,8980
269334.0,1,5176,DTC,266839,2,2832
269414.0,5,25012,DTC,266839,9,26388
269485.0,1,2204,DTC,266839,16,64388
269585.0,1,12988,DTC,266839,1,3764
303195.0,6,59416,PTC,266839,6,22136
499540.0,6,53180,PTC,527784,11,66320
